liquidName,description,colorName,colorHex
Plasmid DNA 용액,증폭하고자 하는 원본 DNA. PCR 반응의 주형(template) 역할을 한다.,무색 투명,#E8F8FF80
프라이머 용액,증폭할 DNA 서열의 시작과 끝에 결합하여 DNA 합성을 개시하는 짧은 DNA 조각.,무색 투명,#E8F8FF80
dNTP 혼합액,DNA 합성의 재료가 되는 뉴클레오타이드(A_T_G_C)의 혼합물.,무색 투명,#E8F8FF80
DNA 중합효소,새로운 DNA 가닥을 합성하는 핵심 효소.,무색 투명,#E8F8FF80
PCR 완충용액,DNA 중합효소의 활성을 위한 최적의 pH와 염 농도를 제공.,무색 투명,#E8F8FF80
초순수 (Nuclease-free water),시약 희석 및 반응액의 최종 부피를 조절하는 용매.,무색 투명,#E8F8FF80
TBE 완충용액,아가로스 겔 제작 및 전기영동 시 전류를 흐르게 하고 pH를 안정적으로 유지.,무색 투명,#E8F8FF80
SYBR Safe (DNA 염색약),아가로스 겔에 섞어 DNA와 결합 UV 아래에서 형광을 내게 하여 DNA를 시각화.,무색 투명 (겔에 섞임),#7CFC00FF
DNA 로딩 염료,PCR 샘플을 무겁게 하여 겔 홈에 잘 가라앉게 하고 이동 정도를 눈으로 확인.,파란색/보라색,#8A2BE2FF
DNA 래더,DNA 크기를 판별할 수 있는 기준선 역할을 하는 여러 크기의 DNA 조각 혼합물.(로딩 염료와 섞여), 파란색/보라색,#8A2BE2FF
증류수 (Deionized water),배지를 만드는 데 사용되는 깨끗한 물.,무색 투명,#E8F8FF80
LB 배지 (액체),대장균의 밥. LB 분말을 증류수에 녹여 만들며 액체 상태에서 대량 배양 시 사용.,맑은 노란색,#FFD70080
대장균 용액 (E. coli stock),배양하고자 하는 대장균이 들어있는 원본 용액.,탁한 노란색,#D2B48CFF
LB 배지 (고체),LB 분말과 한천(Agar)을 증류수에 녹여 만듦. 페트리 접시에 굳혀 콜로니 관찰 시 사용.,굳으면 반투명 노란색,#F0E68CFF
알코올,스프레더와 같은 도구를 불꽃으로 소독하기 전에 담가 화력을 높이는 용도.,무색 투명,#E8F8FF80
